category,subcategory,skill_name,level,weighted_score,description,evidence_examples,developer_type
객체지향 프로그래밍 (OOP),고급 OOP,매직 메서드,Advanced,80,"`__getattr__`, `__setattr__`, `__call__` 활용"
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Basic,9,단순 getter만,단순 getter만,All
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Intermediate,30,getter + setter + validation,getter + setter + validation,All
객체지향 프로그래밍 (OOP),고급 OOP,프로퍼티 (@property),Advanced,72,디스크립터 클래스 구현,디스크립터 클래스 구현,All
객체지향 프로그래밍 (OOP),고급 OOP,메타클래스,Advanced,80,`type()` 상속 + `__new__` 커스터마이징,`type()` 상속 + `__new__` 커스터마이징,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Basic,10,`@dataclass` 기본 사용,`@dataclass` 기본 사용,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Intermediate,32,field() + post_init,field() + post_init,All
객체지향 프로그래밍 (OOP),고급 OOP,데이터클래스,Advanced,76,frozen=True + slots=True + 커스텀 __eq__,frozen=True + slots=True + 커스텀 __eq__,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filterBasic,5,8,기본 사용만,기본 사용만,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filterIntermediate,11,28,체이닝 + lambda 조합,체이닝 + lambda 조합,All
함수형 프로그래밍 및 고급 기능,함수형 도구,"map, filterAdvanced,17,68,operator 모듈 활용 + 복잡한 파이프라인,operator 모듈 활용 + 복잡한 파이프라인,All
함수형 프로그래밍 및 고급 기능,함수형 도구,functools 모듈,Intermediate,,30,"`@lru_cache`, `partial` 사용","`@lru_cache`
함수형 프로그래밍 및 고급 기능,함수형 도구,functools 모듈,Advanced,76,"`@singledispatch`, `reduce`, `wraps` 조합"
함수형 프로그래밍 및 고급 기능,함수형 도구,itertools 모듈,Intermediate,,32,"`chain`, `zip_longest` 등 3개 이상","`chain`
함수형 프로그래밍 및 고급 기능,함수형 도구,itertools 모듈,Advanced,,80,"`groupby`, `accumulate` + 제너레이터 최적화","`groupby`
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Basic,9,단순 yield만,단순 yield만,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Intermediate,35,yield from + 상태 유지,yield from + 상태 유지,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,제너레이터 함수 (yield),Advanced,,80,"양방향 통신 (send, throw)","양방향 통신 (send
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,이터레이터 구현,Intermediate,,38,"`__iter__`, `__next__` 구현","`__iter__`
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,이터레이터 구현,Advanced,80,커스텀 이터레이터 + StopIteration 처리,커스텀 이터레이터 + StopIteration 처리,All
함수형 프로그래밍 및 고급 기능,제너레이터 및 이터레이터,비동기 제너레이터,Advanced,76,`async def` + `async for` + `yield`,`async def` + `async for` + `yield`,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Basic,4,기본 생성 및 접근만,기본 생성 및 접근만,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Intermediate,20,슬라이싱 + 언패킹 + 복사,슬라이싱 + 언패킹 + 복사,All
자료구조 및 알고리즘,내장 자료구조,리스트/튜플/세트,Advanced,60,메모리 효율 고려 + generator 변환,메모리 효율 고려 + generator 변환,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Basic,4,기본 CRUD만,기본 CRUD만,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Intermediate,22,get() + setdefault() + 딕셔너리 병합,get() + setdefault() + 딕셔너리 병합,All
자료구조 및 알고리즘,내장 자료구조,딕셔너리,Advanced,64,ChainMap + 커스텀 __missing__,ChainMap + 커스텀 __missing__,All
자료구조 및 알고리즘,내장 자료구조,collections 모듈,Intermediate,30,"deque, Counter, defaultdict 2개 이상"
자료구조 및 알고리즘,내장 자료구조,collections 모듈,Advanced,72,OrderedDict + namedtuple + 커스텀 컬렉션,OrderedDict + namedtuple + 커스텀 컬렉션,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Basic,6,`sorted()` 기본 사용,`sorted()` 기본 사용,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Intermediate,28,key 함수 + reverse + 커스텀 비교,key 함수 + reverse + 커스텀 비교,All
자료구조 및 알고리즘,알고리즘 구현,정렬 알고리즘,Advanced,72,퀵소트/머지소트 직접 구현 + 안정성 고려,퀵소트/머지소트 직접 구현 + 안정성 고려,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Basic,4,in 연산자만,in 연산자만,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Intermediate,25,선형 검색 구현,선형 검색 구현,All
자료구조 및 알고리즘,알고리즘 구현,검색 알고리즘,Advanced,68,이진 탐색 구현 + bisect 모듈 활용,이진 탐색 구현 + bisect 모듈 활용,All
자료구조 및 알고리즘,알고리즘 구현,재귀,Intermediate,30,기본 재귀 2-3개 구현,기본 재귀 2-3개 구현,All
자료구조 및 알고리즘,알고리즘 구현,재귀,Advanced,76,꼬리 재귀 최적화 + 메모이제이션,꼬리 재귀 최적화 + 메모이제이션,All
자료구조 및 알고리즘,알고리즘 구현,동적 프로그래밍,Advanced,80,DP 테이블 구현 + 최적 부분 구조,DP 테이블 구현 + 최적 부분 구조,All
자료구조 및 알고리즘,알고리즘 구현,그래프 알고리즘,Advanced,80,DFS/BFS 구현 + 최단 경로 알고리즘,DFS/BFS 구현 + 최단 경로 알고리즘,All
자료구조 및 알고리즘,복잡도 분석,시간 복잡도,Intermediate,25,Big-O 주석 + 명확한 루프 구조,Big-O 주석 + 명확한 루프 구조,All
자료구조 및 알고리즘,복잡도 분석,시간 복잡도,Advanced,72,복잡도 최적화 증거 + 벤치마킹,복잡도 최적화 증거 + 벤치마킹,All
자료구조 및 알고리즘,복잡도 분석,공간 복잡도,Intermediate,28,메모리 사용량 고려 주석,메모리 사용량 고려 주석,All
자료구조 및 알고리즘,복잡도 분석,공간 복잡도,Advanced,76,제너레이터로 공간 최적화 + 인플레이스 알고리즘,제너레이터로 공간 최적화 + 인플레이스 알고리즘,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Basic,6,`open()` + read/write만,`open()` + read/write만,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Intermediate,25,encoding 지정 + with 문,encoding 지정 + with 문,All
파일 및 예외 처리,파일 I/O,텍스트 파일,Advanced,68,대용량 스트리밍 + mmap 활용,대용량 스트리밍 + mmap 활용,All
파일 및 예외 처리,파일 I/O,JSON 처리,Basic,8,`json.load/dump` 기본만,`json.load/dump` 기본만,All
파일 및 예외 처리,파일 I/O,JSON 처리,Intermediate,28,커스텀 encoder + 에러 처리,커스텀 encoder + 에러 처리,All
파일 및 예외 처리,파일 I/O,JSON 처리,Advanced,72,ijson 스트리밍 + 스키마 검증,ijson 스트리밍 + 스키마 검증,All
파일 및 예외 처리,파일 I/O,CSV 처리,Basic,8,csv.reader 기본만,csv.reader 기본만,All
파일 및 예외 처리,파일 I/O,CSV 처리,Intermediate,25,DictReader + 타입 변환,DictReader + 타입 변환,All
파일 및 예외 처리,파일 I/O,CSV 처리,Advanced,64,pandas 대용량 처리 + chunksize,pandas 대용량 처리 + chunksize,All
파일 및 예외 처리,파일 I/O,바이너리 파일,Intermediate,30,`rb/wb` 모드 + struct 활용,`rb/wb` 모드 + struct 활용,All
파일 및 예외 처리,파일 I/O,바이너리 파일,Advanced,76,pickle 프로토콜 선택 + 보안 고려,pickle 프로토콜 선택 + 보안 고려,All
파일 및 예외 처리,예외 처리,try-except,Basic,6,기본 예외 처리만,기본 예외 처리만,All
파일 및 예외 처리,예외 처리,try-except,Intermediate,25,특정 예외 타입 + else/finally,특정 예외 타입 + else/finally,All
파일 및 예외 처리,예외 처리,try-except,Advanced,72,예외 체이닝 + raise from + 컨텍스트 보존,예외 체이닝 + raise from + 컨텍스트 보존,All
파일 및 예외 처리,예외 처리,커스텀 예외,Intermediate,32,커스텀 예외 클래스 2개 이상,커스텀 예외 클래스 2개 이상,All
파일 및 예외 처리,예외 처리,커스텀 예외,Advanced,80,예외 계층 구조 + __cause__ 활용,예외 계층 구조 + __cause__ 활용,All
파일 및 예외 처리,예외 처리,예외 로깅,Intermediate,28,logging + 예외 정보 기록,logging + 예외 정보 기록,All
파일 및 예외 처리,예외 처리,예외 로깅,Advanced,68,traceback 모듈 + 구조화된 로깅,traceback 모듈 + 구조화된 로깅,All
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Basic,8,startproject 기본 구조만,startproject 기본 구조만,"Backend
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Intermediate,30,앱 분리 + settings 환경별 분리,앱 분리 + settings 환경별 분리,"Backend
웹 프레임워크 - Django,Django 기초,프로젝트 구조,Advanced,76,커스텀 앱 구조 + 플러그인 아키텍처,커스텀 앱 구조 + 플러그인 아키텍처,"Backend
웹 프레임워크 - Django,Django 기초,URL 라우팅,Basic,6,기본 path() 사용,기본 path() 사용,"Backend
웹 프레임워크 - Django,Django 기초,URL 라우팅,Intermediate,25,정규표현식 + 네임스페이스,정규표현식 + 네임스페이스,"Backend
웹 프레임워크 - Django,Django 기초,URL 라우팅,Advanced,68,동적 라우팅 + URL 리버스 자동화,동적 라우팅 + URL 리버스 자동화,"Backend
웹 프레임워크 - Django,Django 기초,뷰 (Views),Basic,8,함수 기반 뷰 1-2개,함수 기반 뷰 1-2개,"Backend
웹 프레임워크 - Django,Django 기초,뷰 (Views),Intermediate,32,CBV 혼합 + 믹스인 사용,CBV 혼합 + 믹스인 사용,"Backend
웹 프레임워크 - Django,Django 기초,뷰 (Views),Advanced,80,커스텀 믹스인 + 제네릭 뷰 확장,커스텀 믹스인 + 제네릭 뷰 확장,"Backend
웹 프레임워크 - Django,Django ORM,모델 정의,Basic,9,기본 필드 3-5개만,기본 필드 3-5개만,"Backend
웹 프레임워크 - Django,Django ORM,모델 정의,Intermediate,,32,"ForeignKey, ManyToMany + Meta 옵션","ForeignKey
웹 프레임워크 - Django,Django ORM,모델 정의,Advanced,80,추상 모델 + 커스텀 매니저 + 인덱스 최적화,추상 모델 + 커스텀 매니저 + 인덱스 최적화,"Backend
웹 프레임워크 - Django,Django ORM,쿼리 작성,Basic,,8,"`.get()`, `.filter()` 기본만","`.get()`
웹 프레임워크 - Django,Django ORM,쿼리 작성,Intermediate,35,Q 객체 + annotate/aggregate,Q 객체 + annotate/aggregate,"Backend
웹 프레임워크 - Django,Django ORM,쿼리 작성,Advanced,80,"Subquery, Exists, Prefetch 고급 활용"
웹 프레임워크 - Django,Django ORM,쿼리 최적화,Intermediate,,38,"`select_related`, `prefetch_related`","`select_related`
웹 프레임워크 - Django,Django ORM,쿼리 최적화,Advanced,,80,"`only()`, `defer()` + 쿼리 프로파일링","`only()`
웹 프레임워크 - Django,Django 고급,Django Admin,Basic,8,기본 admin.site.register,기본 admin.site.register,"Backend
웹 프레임워크 - Django,Django 고급,Django Admin,Intermediate,30,list_display + search_fields,list_display + search_fields,"Backend
웹 프레임워크 - Django,Django 고급,Django Admin,Advanced,76,커스텀 액션 + 인라인 + 권한 제어,커스텀 액션 + 인라인 + 권한 제어,"Backend
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Basic,9,ModelForm 기본 사용,ModelForm 기본 사용,"Backend
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Intermediate,32,커스텀 clean() + 위젯 커스터마이징,커스텀 clean() + 위젯 커스터마이징,"Backend
웹 프레임워크 - Django,Django 고급,Form/ModelForm,Advanced,80,Formset + 동적 폼 생성,Formset + 동적 폼 생성,"Backend
웹 프레임워크 - Django,Django 고급,미들웨어,Intermediate,35,기존 미들웨어 활성화,기존 미들웨어 활성화,"Backend
웹 프레임워크 - Django,Django 고급,미들웨어,Advanced,80,커스텀 미들웨어 구현 + 성능 최적화,커스텀 미들웨어 구현 + 성능 최적화,"Backend
웹 프레임워크 - Django,Django 고급,시그널 (Signals),Intermediate,,32,"pre_save, post_save 활용","pre_save
웹 프레임워크 - Django,Django 고급,시그널 (Signals),Advanced,76,커스텀 시그널 정의 + 디커플링 패턴,커스텀 시그널 정의 + 디커플링 패턴,"Backend
웹 프레임워크 - Django,Django REST Framework,Serializer,Basic,10,ModelSerializer 기본,ModelSerializer 기본,"Backend
웹 프레임워크 - Django,Django REST Framework,Serializer,Intermediate,38,SerializerMethodField + validation,SerializerMethodField + validation,"Backend
웹 프레임워크 - Django,Django REST Framework,Serializer,Advanced,80,중첩 Serializer + write() 커스터마이징,중첩 Serializer + write() 커스터마이징,"Backend
웹 프레임워크 - Django,Django REST Framework,ViewSet,Basic,9,ModelViewSet 기본,ModelViewSet 기본,"Backend
웹 프레임워크 - Django,Django REST Framework,ViewSet,Intermediate,35,커스텀 액션 + 권한 클래스,커스텀 액션 + 권한 클래스,"Backend
웹 프레임워크 - Django,Django REST Framework,ViewSet,Advanced,80,GenericViewSet + 믹스인 조합,GenericViewSet + 믹스인 조합,"Backend
웹 프레임워크 - Django,Django REST Framework,인증/권한,Basic,8,TokenAuthentication 기본,TokenAuthentication 기본,"Backend
웹 프레임워크 - Django,Django REST Framework,인증/권한,Intermediate,32,JWT + 커스텀 권한 클래스,JWT + 커스텀 권한 클래스,"Backend
웹 프레임워크 - Django,Django REST Framework,인증/권한,Advanced,80,OAuth2 + 세밀한 권한 제어,OAuth2 + 세밀한 권한 제어,"Backend
웹 프레임워크 - Django,Django REST Framework,필터링/페이지네이션,Intermediate,30,django-filter + PageNumberPagination,django-filter + PageNumberPagination,"Backend
웹 프레임워크 - Django,Django REST Framework,필터링/페이지네이션,Advanced,76,커스텀 필터 + 동적 페이지네이션,커스텀 필터 + 동적 페이지네이션,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Basic,8,@app.get() 기본만,@app.get() 기본만,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Intermediate,30,APIRouter + 태그/의존성 주입,APIRouter + 태그/의존성 주입,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,라우팅,Advanced,76,동적 라우트 + 라우터 조합 패턴,동적 라우트 + 라우터 조합 패턴,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Basic,9,BaseModel 기본 필드,BaseModel 기본 필드,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Intermediate,32,Field() + validator 2-3개,Field() + validator 2-3개,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,Pydantic 모델,Advanced,80,Generic 모델 + 동적 모델 생성,Generic 모델 + 동적 모델 생성,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Basic,8,Path/Query 파라미터 기본,Path/Query 파라미터 기본,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Intermediate,28,Request Body + Response 모델,Request Body + Response 모델,"Backend
웹 프레임워크 - FastAPI,FastAPI 기초,요청/응답,Advanced,72,스트리밍 응답 + 파일 업로드 처리,스트리밍 응답 + 파일 업로드 처리,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Basic,9,Depends() 기본 사용,Depends() 기본 사용,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Intermediate,35,계층적 의존성 + 캐싱,계층적 의존성 + 캐싱,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,Dependency Injection,Advanced,80,제너레이터 의존성 + 컨텍스트 관리,제너레이터 의존성 + 컨텍스트 관리,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Basic,8,async def 기본만,async def 기본만,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Intermediate,32,asyncio.gather + 비동기 DB,asyncio.gather + 비동기 DB,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,비동기 처리,Advanced,80,백그라운드 작업 + WebSocket,백그라운드 작업 + WebSocket,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,미들웨어,Intermediate,30,CORS + 기본 미들웨어,CORS + 기본 미들웨어,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,미들웨어,Advanced,76,커스텀 미들웨어 + 요청/응답 인터셉터,커스텀 미들웨어 + 요청/응답 인터셉터,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Basic,8,HTTPBasic 기본,HTTPBasic 기본,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Intermediate,35,OAuth2PasswordBearer + JWT,OAuth2PasswordBearer + JWT,"Backend
웹 프레임워크 - FastAPI,FastAPI 고급,인증/보안,Advanced,80,커스텀 보안 스킴 + API 키 관리,커스텀 보안 스킴 + API 키 관리,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,성능 최적화,Intermediate,32,response_model + 캐싱,response_model + 캐싱,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,성능 최적화,Advanced,80,응답 압축 + 커넥션 풀링,응답 압축 + 커넥션 풀링,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Basic,8,자동 문서 사용만,자동 문서 사용만,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Intermediate,30,tags + 설명 추가,tags + 설명 추가,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,OpenAPI 커스터마이징,Advanced,76,스키마 확장 + 커스텀 UI,스키마 확장 + 커스텀 UI,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,테스팅,Intermediate,28,TestClient 기본 테스트,TestClient 기본 테스트,"Backend
웹 프레임워크 - FastAPI,FastAPI 최적화,테스팅,Advanced,72,pytest-asyncio + 픽스처 활용,pytest-asyncio + 픽스처 활용,"Backend
웹 프레임워크 - Flask,Flask 기초,애플리케이션 구조,Basic,6,단일 파일 앱만,단일 파일 앱만,"Backend
웹 프레임워크 - Flask,Flask 기초,애플리케이션 구조,Intermediate,28,Blueprint 모듈화,Blueprint 모듈화,"Backend
웹 프레임워크 - Flask,Flask 기초,애플리케이션 구조,Advanced,72,Application Factory 패턴,Application Factory 패턴,"Backend
웹 프레임워크 - Flask,Flask 기초,라우팅 및 뷰,Basic,6,@app.route() 기본만,@app.route() 기본만,"Backend
웹 프레임워크 - Flask,Flask 기초,라우팅 및 뷰,Intermediate,25,URL 변수 + 메서드 제한,URL 변수 + 메서드 제한,"Backend
웹 프레임워크 - Flask,Flask 기초,라우팅 및 뷰,Advanced,68,URL 컨버터 + 동적 라우팅,URL 컨버터 + 동적 라우팅,"Backend
웹 프레임워크 - Flask,Flask 기초,템플릿 (Jinja2),Basic,8,render_template 기본,render_template 기본,"Backend
웹 프레임워크 - Flask,Flask 기초,템플릿 (Jinja2),Intermediate,28,상속 + 매크로,상속 + 매크로,"Backend
웹 프레임워크 - Flask,Flask 기초,템플릿 (Jinja2),Advanced,72,커스텀 필터 + 전역 함수,커스텀 필터 + 전역 함수,"Backend
웹 프레임워크 - Flask,Flask 확장,Flask-SQLAlchemy,Basic,9,기본 모델 정의,기본 모델 정의,"Backend
